k,rep,target_R,min_target_allocation,max_target_allocation,has_negative_target_allocation,max_allocation_error,max_transfer_error,corner_error,pot_conservation_error,planted_zero_sum_error
2,42,0.4437284758573842,0.056271524142615825,0.9437284758573842,False,3.400058012914542e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,0.0
2,43,0.7060615604123686,-0.20606156041236856,1.2060615604123686,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,0.0
2,44,0.25121668166369115,0.2487833183363089,0.7512166816636913,False,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,1.6653345369377348e-16
2,45,0.2183913894599705,0.2816086105400295,0.7183913894599705,False,1.6653345369377348e-16,1.942890293094024e-16,0.0,0.0,2.7755575615628914e-17
2,46,0.9719372582282899,-0.4719372582282898,1.47193725822829,True,1.1102230246251565e-15,9.992007221626409e-16,0.0,2.220446049250313e-16,0.0
2,47,0.42112236111502854,0.07887763888497146,0.9211223611150285,False,3.3306690738754696e-16,3.3306690738754696e-16,0.0,0.0,0.0
2,48,0.21769624218862627,0.28230375781137373,0.7176962421886263,False,3.3306690738754696e-16,3.608224830031759e-16,0.0,2.220446049250313e-16,5.551115123125783e-17
2,49,0.9658077165778716,-0.46580771657787157,1.4658077165778716,True,5.551115123125783e-16,5.551115123125783e-16,0.0,4.440892098500626e-16,0.0
2,50,0.9470183665860427,-0.4470183665860421,1.4470183665860432,True,8.881784197001252e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,1.1102230246251565e-15
2,51,0.1251489746348744,0.3748510253651256,0.6251489746348744,False,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0
2,52,0.15593678331769603,0.344063216682304,0.6559367833176961,False,3.3306690738754696e-16,2.7755575615628914e-16,0.0,2.220446049250313e-16,2.7755575615628914e-17
2,53,0.6321467973613409,-0.13214679736134083,1.132146797361341,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,1.1102230246251565e-16
2,54,0.6991181878071664,-0.1991181878071664,1.1991181878071664,True,5.551115123125783e-16,5.551115123125783e-16,0.0,0.0,0.0
2,55,0.1574168100983634,0.3425831899016366,0.6574168100983634,False,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0
2,56,0.5858818960156559,-0.08588189601565588,1.085881896015656,True,6.661338147750939e-16,5.551115123125783e-16,0.0,1.1102230246251565e-16,0.0
2,57,0.3230279392620606,0.17697206073793942,0.8230279392620605,False,3.608224830031759e-16,3.885780586188048e-16,0.0,2.220446049250313e-16,1.1102230246251565e-16
2,58,0.5645903740540514,-0.06459037405405155,1.0645903740540512,True,4.3021142204224816e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,3.3306690738754696e-16
2,59,0.48653178346001535,0.013468216539984645,0.9865317834600154,False,3.3306690738754696e-16,3.3306690738754696e-16,0.0,0.0,0.0
2,60,0.9095505012646944,-0.4095505012646944,1.4095505012646945,True,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0,1.1102230246251565e-16
2,61,0.9843752657314285,-0.48437526573142864,1.4843752657314286,True,8.881784197001252e-16,8.881784197001252e-16,0.0,1.1102230246251565e-16,0.0
2,62,0.19274472427641492,0.3072552757235851,0.6927447242764149,False,1.6653345369377348e-16,1.6653345369377348e-16,0.0,0.0,0.0
2,63,0.355356307714673,0.14464369228532692,0.855356307714673,False,3.3306690738754696e-16,3.3306690738754696e-16,0.0,0.0,1.1102230246251565e-16
2,64,0.175274128133398,0.324725871866602,0.675274128133398,False,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0
2,65,0.3951711231715289,0.10482887682847108,0.8951711231715289,False,2.914335439641036e-16,2.7755575615628914e-16,0.0,0.0,0.0
2,66,0.8248581118716347,-0.3248581118716347,1.3248581118716347,True,4.996003610813204e-16,4.440892098500626e-16,0.0,0.0,0.0
2,67,0.1960478090288389,0.3039521909711611,0.6960478090288389,False,3.3306690738754696e-16,3.0531133177191805e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0
2,68,0.5476374753172124,-0.04763747531721252,1.0476374753172124,True,4.996003610813204e-16,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16
2,69,0.901591817837725,-0.4015918178377249,1.4015918178377251,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,2.220446049250313e-16
2,70,0.3573654526564464,0.14263454734355357,0.8573654526564465,False,4.440892098500626e-16,3.885780586188048e-16,0.0,1.1102230246251565e-16,0.0
2,71,0.20251797108706193,0.29748202891293807,0.7025179710870619,False,1.6653345369377348e-16,1.6653345369377348e-16,0.0,2.220446049250313e-16,0.0
2,72,0.9888036954509416,-0.4888036954509416,1.4888036954509416,True,6.661338147750939e-16,6.661338147750939e-16,0.0,4.440892098500626e-16,0.0
2,73,0.21029664119847352,0.2897033588015265,0.7102966411984735,False,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0
2,74,0.6486213970679143,-0.14862139706791433,1.1486213970679144,True,6.661338147750939e-16,5.551115123125783e-16,0.0,1.1102230246251565e-16,0.0
2,75,0.9390315243008046,-0.4390315243008046,1.4390315243008045,True,6.106226635438361e-16,5.551115123125783e-16,0.0,0.0,0.0
2,76,0.7400402608454817,-0.2400402608454817,1.2400402608454817,True,4.718447854656915e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,0.0
2,77,0.0691916339992158,0.4308083660007842,0.5691916339992158,False,2.220446049250313e-16,2.220446049250313e-16,0.0,4.440892098500626e-16,0.0
2,78,0.6568216611975366,-0.15682166119753715,1.1568216611975362,True,6.661338147750939e-16,7.771561172376096e-16,0.0,0.0,1.1102230246251565e-15
2,79,0.28509255393384014,0.21490744606615986,0.7850925539338401,False,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0
2,80,0.3676110194801957,0.13238898051980436,0.8676110194801957,False,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,5.551115123125783e-17
2,81,0.34452874345391604,0.15547125654608396,0.844528743453916,False,2.7755575615628914e-16,2.7755575615628914e-16,0.0,0.0,0.0
2,82,0.3209024350419694,0.1790975649580306,0.8209024350419694,False,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0
2,83,0.75284958222427,-0.25284958222427,1.25284958222427,True,5.551115123125783e-16,5.551115123125783e-16,0.0,0.0,0.0
2,84,0.05508297653248015,0.4449170234675198,0.5550829765324802,False,1.1102230246251565e-16,1.3877787807814457e-16,0.0,2.220446049250313e-16,0.0
2,85,0.3620681161550741,0.13793188384492588,0.8620681161550741,False,2.498001805406602e-16,2.7755575615628914e-16,0.0,0.0,0.0
2,86,0.25156842200775004,0.24843157799224996,0.7515684220077501,False,1.942890293094024e-16,1.6653345369377348e-16,0.0,2.220446049250313e-16,0.0
