audit_id,dataset_index,target,mlp_median_D_over_s,mlp_median_H_over_s,mlp_median_chi,mlp_visible_seed_count,mlp_material_seed_count,mlp_fc_seed_count,crossnet_median_D_over_s,crossnet_median_H_over_s,crossnet_median_chi,crossnet_visible_seed_count,crossnet_material_seed_count,crossnet_fc_seed_count,delta_H_mlp_minus_crossnet,delta_D_mlp_minus_crossnet,shared_fc_any
75,20365,2.593,0.1398879611918139,1.7049021087155003,0.9082230490488332,0,5,0,0.0617970757156051,0.3006859018021092,0.8512707914058333,0,5,0,1.4042162069133912,0.0780908854762088,False
76,18638,2.624,0.3299461764892112,2.039632220706732,0.8362783996681931,0,5,0,0.0945772132412069,0.553019886691959,0.823770274496305,0,5,0,1.4866123340147732,0.23536896324800433,False
77,8396,2.625,0.1710175995131028,1.864261088447243,0.9229102940595528,0,5,0,0.0730499413536336,0.3209493870772194,0.8184058615620209,0,5,0,1.5433117013700237,0.0979676581594692,False
78,19315,2.698,0.3939608439782624,1.4594016654373836,0.8399170575846708,0,5,0,0.3012050138878062,0.6748554771439285,0.623430748151418,0,5,0,0.7845461882934551,0.09275583009045624,False
79,17995,2.83,0.6509353195399894,2.0149701063077603,0.7647591748164436,0,5,0,0.1565203262231029,0.6474940430579115,0.8031775667339626,0,5,0,1.3674760632498488,0.4944149933168865,False
80,14381,2.868,0.4476702462436406,5.62636010647635,0.9262976606557176,0,5,0,0.0996186388887139,1.33264077647993,0.922670319957383,0,5,0,4.293719329996421,0.3480516073549267,False
81,15735,2.875,0.6782355625438539,3.01938226336557,0.8165749965311673,0,5,0,0.1844946405363798,0.8410074557160264,0.8535981139124519,0,5,0,2.1783748076495435,0.4937409220074741,False
82,19114,2.911,0.3997455871627732,1.159149359940348,0.7495424548888098,0,5,0,0.1721363736357732,0.5321457758442146,0.7323307218923667,0,5,0,0.6270035840961333,0.227609213527,False
83,282,2.93,0.3092359776331195,1.7285289829800583,0.8587383568559451,0,5,0,0.111253737169057,0.6075352765902444,0.8134128449485315,0,5,0,1.1209937063898139,0.1979822404640625,False
84,4634,3.0,0.2260582650398924,4.772948240758612,0.9525613039000072,0,5,0,0.0694325201748472,0.8556852494405915,0.9253540892650514,0,5,0,3.91726299131802,0.1566257448650452,False
85,9293,3.109,0.5398794605772257,0.8961972186515827,0.6405967066900224,0,5,0,0.1128821207308649,0.3599867622465107,0.7053128249713173,0,5,0,0.536210456405072,0.4269973398463608,False
86,1661,3.204,0.1325059823720325,2.293811950777163,0.9575828312593117,0,5,0,0.1637396231437764,0.8800981512407158,0.818594451660247,0,5,0,1.4137137995364473,-0.031233640771743898,False
87,17862,3.205,0.3312286165463499,1.076694615911496,0.7926415272295636,0,5,0,0.1074425113917711,0.3115011047757761,0.670930875672799,0,5,0,0.76519351113572,0.22378610515457878,False
88,18118,3.401,0.5465590490593156,1.0050239443340794,0.6477410158615095,0,5,0,0.130668511743199,0.3370537638013681,0.722938717882944,0,5,0,0.6679701805327113,0.41589053731611664,False
89,11610,3.591,0.1968365462546417,0.9279652723449004,0.8203108969480077,0,5,0,0.066044539049155,0.2246414723743741,0.7753559952768392,0,5,0,0.7033237999705264,0.1307920072054867,False
90,1571,3.866,0.1445629365418952,1.7328834312154446,0.916941471898116,0,5,0,0.1217785554868403,0.6219311672403136,0.7871420698032365,0,5,0,1.110952263975131,0.022784381055054898,False
91,18148,4.473,0.5590733124985989,2.4424096004822475,0.813734301108058,0,5,0,0.1339880712756924,0.7237510417604359,0.8410059115595887,0,5,0,1.7186585587218115,0.42508524122290653,False
92,9313,4.878,0.6920404151108168,2.8803005651156908,0.7983043124673238,0,5,0,0.1244376087692425,1.0370176369356543,0.8633594363511652,0,5,0,1.8432829281800365,0.5676028063415743,False
93,6702,4.932,0.1388822405759806,0.727856793526755,0.8767929450919555,0,5,0,0.0616978978247709,0.087174838702504,0.5896482681003316,0,5,0,0.640681954824251,0.0771843427512097,False
94,9850,5.0,0.4709320766851033,12.25039401620815,0.967728501088374,0,5,0,0.2045560760740845,2.9547829382141417,0.9300287758394674,0,5,0,9.295611077994007,0.2663760006110188,False
95,10805,5.00001,0.183364101704367,1.14081413127212,0.8482444148676019,0,5,0,0.066670110866185,0.2263777494751517,0.7819629335473028,0,5,0,0.9144363817969683,0.11669399083818201,False
96,14807,5.00001,0.4189772891587277,4.625599787695429,0.916945011885911,0,5,0,0.1030755582442461,1.1458120608698468,0.8960297656905077,0,5,0,3.4797877268255824,0.3159017309144816,False
97,15672,5.00001,1.0138338824399795,14.862427955178758,0.9355893119093044,0,5,0,0.2467209853573844,4.507934853473604,0.940626004671026,0,5,0,10.354493101705152,0.7671128970825951,False
98,15698,5.00001,0.7999984438945195,10.070562614523764,0.9162776953086992,0,5,0,0.2916164071275087,4.500945926425411,0.9364008272371512,0,5,0,5.569616688098353,0.5083820367670108,False
99,17110,5.00001,0.6154043606687264,5.5407073708731485,0.8731638972619579,0,5,0,0.1787515117177675,2.332650040815909,0.90873168145758,0,5,0,3.2080573300572395,0.4366528489509589,False
